date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:45:03	36/36	---M--	200	added ('OK')	text/plain	etag:%2230e00bc-24-48a5523201140%22	http://cse.csusb.edu/robots.txt		(from )
15:45:03	2681/2681	---M--	200	added ('OK')	text/html	etag:%2222e1026-a79-4de9a151d82fe%22	http://cse.csusb.edu/kay/cs460/	C:/My%20Web%20Sites/CSE460%202013/cse.csusb.edu/kay/cs460/index.html	(from )
15:45:04	330/330	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2018%20Jun%202013%2022:38:40%20GMT	http://cse.csusb.edu/kay/cs460/finalReview	C:/My%20Web%20Sites/CSE460%202013/cse.csusb.edu/kay/cs460/finalReview.0.delayed	(from )
15:45:04	322/322	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2018%20Jun%202013%2022:38:40%20GMT	http://cse.csusb.edu/kay/cs460/hw3	C:/My%20Web%20Sites/CSE460%202013/cse.csusb.edu/kay/cs460/hw3.1.delayed	(from )
15:45:04	6516/6516	---M--	200	added ('OK')	text/html	etag:%2222e0fb9-1974-4dce7fb788adb%22	http://cse.csusb.edu/kay/cs460/phase3.html	C:/My%20Web%20Sites/CSE460%202013/cse.csusb.edu/kay/cs460/phase3.html	(from )
15:45:04	325/325	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2018%20Jun%202013%2022:38:41%20GMT	http://cse.csusb.edu/kay/cs460/review	C:/My%20Web%20Sites/CSE460%202013/cse.csusb.edu/kay/cs460/review.3.delayed	(from )
15:45:05	1025/1025	---M--	200	added ('OK')	text/plain	etag:%2222e0fba-401-4dc3ee460aeb8%22	http://cse.csusb.edu/kay/cs460/test.cpp	C:/My%20Web%20Sites/CSE460%202013/cse.csusb.edu/kay/cs460/test.cpp	(from )
15:45:05	1294/1294	---M--	200	added ('OK')	text/plain	etag:%2222e0fb1-50e-4dbaaa0dff7a9%22	http://cse.csusb.edu/kay/cs460/threadedSum.c	C:/My%20Web%20Sites/CSE460%202013/cse.csusb.edu/kay/cs460/threadedSum.c	(from )
15:48:22	1205414/1205414	---M--	200	added ('OK')	image/jpeg	etag:%2222e0fb4-1264a6-4db7a12381140%22	http://cse.csusb.edu/kay/cs460/IMAG0440.jpg	C:/My%20Web%20Sites/CSE460%202013/cse.csusb.edu/kay/cs460/IMAG0440.jpg	(from )
15:48:22	931/931	---M--	200	added ('OK')	text/plain	etag:%2222e0fb0-3a3-4db78bcbde460%22	http://cse.csusb.edu/kay/cs460/hello.c	C:/My%20Web%20Sites/CSE460%202013/cse.csusb.edu/kay/cs460/hello.c	(from )
15:48:22	801/801	---M--	200	added ('OK')	text/plain	etag:%2222e0f7f-321-4db1eca9c08e7%22	http://cse.csusb.edu/kay/cs460/DateServer.java	C:/My%20Web%20Sites/CSE460%202013/cse.csusb.edu/kay/cs460/DateServer.java	(from )
15:48:23	690/690	---M--	200	added ('OK')	text/plain	etag:%2222e0f98-2b2-4db1ec6fbcbff%22	http://cse.csusb.edu/kay/cs460/DateClient.java	C:/My%20Web%20Sites/CSE460%202013/cse.csusb.edu/kay/cs460/DateClient.java	(from )
15:48:23	1372/1372	---M--	200	added ('OK')	text/plain	etag:%2222e0f93-55c-4daf491e97b02%22	http://cse.csusb.edu/kay/cs460/write_msg.c	C:/My%20Web%20Sites/CSE460%202013/cse.csusb.edu/kay/cs460/write_msg.c	(from )
15:48:23	1220750/1220750	---M--	200	added ('OK')	image/jpeg	etag:%2222e0fb5-12a08e-4db7a1171b400%22	http://cse.csusb.edu/kay/cs460/IMAG0439.jpg	C:/My%20Web%20Sites/CSE460%202013/cse.csusb.edu/kay/cs460/IMAG0439.jpg	(from )
15:48:23	765/765	---M--	200	added ('OK')	text/plain	etag:%2222e0f90-2fd-4daf491e905d2%22	http://cse.csusb.edu/kay/cs460/read_msg.c	C:/My%20Web%20Sites/CSE460%202013/cse.csusb.edu/kay/cs460/read_msg.c	(from )
15:48:24	12855/12855	---M--	200	added ('OK')	text/html	etag:%2222e0f92-3237-4dadcb7c96fa2%22	http://cse.csusb.edu/kay/cs460/phase2.html	C:/My%20Web%20Sites/CSE460%202013/cse.csusb.edu/kay/cs460/phase2.html	(from )
15:48:25	3207/3207	---M--	200	added ('OK')	text/plain	etag:%2222e0f94-c87-4daf4b52368da%22	http://cse.csusb.edu/kay/cs460/boundBuf.c	C:/My%20Web%20Sites/CSE460%202013/cse.csusb.edu/kay/cs460/boundBuf.c	(from )
15:48:29	1285299/1285299	---M--	200	added ('OK')	image/jpeg	etag:%2222e0fb6-139cb3-4db7a10ba9900%22	http://cse.csusb.edu/kay/cs460/IMAG0438.jpg	C:/My%20Web%20Sites/CSE460%202013/cse.csusb.edu/kay/cs460/IMAG0438.jpg	(from )
15:48:39	1314583/1314583	---M--	200	added ('OK')	image/jpeg	etag:%2222e0fb2-140f17-4db7a12c16580%22	http://cse.csusb.edu/kay/cs460/IMAG0441.jpg	C:/My%20Web%20Sites/CSE460%202013/cse.csusb.edu/kay/cs460/IMAG0441.jpg	(from )
15:51:08	1009372/1009372	---M--	200	added ('OK')	image/jpeg	etag:%2222e0f81-f66dc-4da9a8c35d6c0%22	http://cse.csusb.edu/kay/cs460/IMAG0417.jpg	C:/My%20Web%20Sites/CSE460%202013/cse.csusb.edu/kay/cs460/IMAG0417.jpg	(from )
15:51:08	377/377	---M--	200	added ('OK')	text/plain	etag:%2222e0f7c-179-4da691454ca19%22	http://cse.csusb.edu/kay/cs460/fork.c	C:/My%20Web%20Sites/CSE460%202013/cse.csusb.edu/kay/cs460/fork.c	(from )
15:51:08	619/619	---M--	200	added ('OK')	text/plain	etag:%2222e0f7d-26b-4da6914551451%22	http://cse.csusb.edu/kay/cs460/pipe.c	C:/My%20Web%20Sites/CSE460%202013/cse.csusb.edu/kay/cs460/pipe.c	(from )
15:51:09	19101/19101	---M--	200	added ('OK')	text/html	etag:%2222e0f66-4a9d-4d9c1a5aff4be%22	http://cse.csusb.edu/kay/cs460/phase1.html	C:/My%20Web%20Sites/CSE460%202013/cse.csusb.edu/kay/cs460/phase1.html	(from )
15:51:10	1104/1104	---M--	200	added ('OK')	text/plain	etag:%2222e0f63-450-4d95c12ce7c75%22	http://cse.csusb.edu/kay/cs460/stringStream.cpp	C:/My%20Web%20Sites/CSE460%202013/cse.csusb.edu/kay/cs460/stringStream.cpp	(from )
15:51:10	1119/1119	---M--	200	added ('OK')	text/plain	etag:%2222e0f62-45f-4d95bf6d1b8c5%22	http://cse.csusb.edu/kay/cs460/union.cpp	C:/My%20Web%20Sites/CSE460%202013/cse.csusb.edu/kay/cs460/union.cpp	(from )
15:51:10	795/795	---M--	200	added ('OK')	text/plain	etag:%2222e0f5d-31b-4d95bf3909f56%22	http://cse.csusb.edu/kay/cs460/mapFuncPtr0.cpp	C:/My%20Web%20Sites/CSE460%202013/cse.csusb.edu/kay/cs460/mapFuncPtr0.cpp	(from )
15:51:11	1385/1385	---M--	200	added ('OK')	text/plain	etag:%2222e0f65-569-4d95c310d7794%22	http://cse.csusb.edu/kay/cs460/mapFuncPtr1.cpp	C:/My%20Web%20Sites/CSE460%202013/cse.csusb.edu/kay/cs460/mapFuncPtr1.cpp	(from )
15:51:11	1451/1451	---M--	200	added ('OK')	text/plain	etag:%2222e0f5f-5ab-4d95bf3909f56%22	http://cse.csusb.edu/kay/cs460/mapFuncPtr2.cpp	C:/My%20Web%20Sites/CSE460%202013/cse.csusb.edu/kay/cs460/mapFuncPtr2.cpp	(from )
15:51:12	1039056/1039056	---M--	200	added ('OK')	image/jpeg	etag:%2222e0f80-fdad0-4da9a7f376c40%22	http://cse.csusb.edu/kay/cs460/IMAG0416.jpg	C:/My%20Web%20Sites/CSE460%202013/cse.csusb.edu/kay/cs460/IMAG0416.jpg	(from )
15:51:13	1011423/1011423	---M--	200	added ('OK')	image/jpeg	etag:%2222e0f84-f6edf-4da9a8968ad00%22	http://cse.csusb.edu/kay/cs460/IMAG0418.jpg	C:/My%20Web%20Sites/CSE460%202013/cse.csusb.edu/kay/cs460/IMAG0418.jpg	(from )
15:51:14	3415/3415	---M--	200	added ('OK')	text/html	date:Tue,%2018%20Jun%202013%2022:44:49%20GMT	http://cse.csusb.edu/kay/cs460/finalReview/	C:/My%20Web%20Sites/CSE460%202013/cse.csusb.edu/kay/cs460/finalReview/index.html	(from http://cse.csusb.edu/kay/cs460/)
15:51:14	148/148	---M--	200	added ('OK')	image/gif	etag:%2230e02d8-94-3e9564c23b600%22	http://cse.csusb.edu/icons/blank.gif	C:/My%20Web%20Sites/CSE460%202013/cse.csusb.edu/icons/blank.gif	(from http://cse.csusb.edu/kay/cs460/)
15:51:15	216/216	---M--	200	added ('OK')	image/gif	etag:%2230e02ce-d8-3e9564c23b600%22	http://cse.csusb.edu/icons/back.gif	C:/My%20Web%20Sites/CSE460%202013/cse.csusb.edu/icons/back.gif	(from http://cse.csusb.edu/kay/cs460/)
15:51:15	309/309	---M--	200	added ('OK')	image/gif	etag:%2230e030e-135-3e9564c23b600%22	http://cse.csusb.edu/icons/image2.gif	C:/My%20Web%20Sites/CSE460%202013/cse.csusb.edu/icons/image2.gif	(from http://cse.csusb.edu/kay/cs460/)
15:51:21	51659/51659	---M--	200	added ('OK')	application/pdf	etag:%2222e0f5b-c9cb-4d916c915ce40%22	http://cse.csusb.edu/kay/cs460/syllabus460.pdf	C:/My%20Web%20Sites/CSE460%202013/cse.csusb.edu/kay/cs460/syllabus460.pdf	(from )
15:51:21	1001205/1001205	---M--	200	added ('OK')	image/jpeg	etag:%2222e0f85-f46f5-4da9a7bff72c0%22	http://cse.csusb.edu/kay/cs460/IMAG0421.jpg	C:/My%20Web%20Sites/CSE460%202013/cse.csusb.edu/kay/cs460/IMAG0421.jpg	(from )
15:52:17	406016/406016	---M--	200	added ('OK')	application/msword	etag:%2222e0f64-63200-4d95c143b6a55%22	http://cse.csusb.edu/kay/cs460/part1d.doc	C:/My%20Web%20Sites/CSE460%202013/cse.csusb.edu/kay/cs460/part1d.doc	(from )
15:54:13	1104283/1104283	---M--	200	added ('OK')	image/jpeg	etag:%2222e1025-10d99b-4de99bfea2b80%22	http://cse.csusb.edu/kay/cs460/finalReview/IMAG0498.jpg	C:/My%20Web%20Sites/CSE460%202013/cse.csusb.edu/kay/cs460/finalReview/IMAG0498.jpg	(from http://cse.csusb.edu/kay/cs460/)
15:54:17	1091011/1091011	---M--	200	added ('OK')	image/jpeg	etag:%2222e1023-10a5c3-4de99caa4c080%22	http://cse.csusb.edu/kay/cs460/finalReview/IMAG0502.jpg	C:/My%20Web%20Sites/CSE460%202013/cse.csusb.edu/kay/cs460/finalReview/IMAG0502.jpg	(from http://cse.csusb.edu/kay/cs460/)
15:54:22	1123608/1123608	---M--	200	added ('OK')	image/jpeg	etag:%2222e1024-112518-4de99c303a080%22	http://cse.csusb.edu/kay/cs460/finalReview/IMAG0500.jpg	C:/My%20Web%20Sites/CSE460%202013/cse.csusb.edu/kay/cs460/finalReview/IMAG0500.jpg	(from http://cse.csusb.edu/kay/cs460/)
15:55:11	1078548/1078548	---M--	200	added ('OK')	image/jpeg	etag:%2222e1022-107514-4de99d09aa180%22	http://cse.csusb.edu/kay/cs460/finalReview/IMAG0503.jpg	C:/My%20Web%20Sites/CSE460%202013/cse.csusb.edu/kay/cs460/finalReview/IMAG0503.jpg	(from http://cse.csusb.edu/kay/cs460/)
